section,section_label,order,date,kind,source,asset
04_7-9_months,04_7-9_months,29,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_17_49.513_20x.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/029_2026-06-03_141749_photo.jpg
04_7-9_months,04_7-9_months,30,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_17_58.701_po0.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/030_2026-06-03_141758_photo.jpg
04_7-9_months,04_7-9_months,31,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_18_13.531_lc3.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/031_2026-06-03_141813_video.mp4
04_7-9_months,04_7-9_months,32,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_18_21.293_6rw.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/032_2026-06-03_141821_photo.jpg
04_7-9_months,04_7-9_months,33,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_18_45.467_u6k.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/033_2026-06-03_141845_photo.jpg
04_7-9_months,04_7-9_months,34,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_19_00.617_of8.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/034_2026-06-03_141900_photo.jpg
04_7-9_months,04_7-9_months,35,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_19_07.651_if0.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/035_2026-06-03_141907_photo.jpg
04_7-9_months,04_7-9_months,36,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_19_19.686_x07.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/036_2026-06-03_141919_photo.jpg
04_7-9_months,04_7-9_months,37,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_19_25.894_en7.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/037_2026-06-03_141925_photo.jpg
04_7-9_months,04_7-9_months,38,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_19_40.314_ckr.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/038_2026-06-03_141940_photo.jpg
